madh,manv,makh,maht,magh,diachi,sdt,nguoinhan,ngaylap,tinhtrang,phivc,tongtien
DK000001,KH000004,4393 Vo Van Kiet Song Cau Gia Lai,0,01/15/2021,Ho Chu,,Van,0562815031,phu huynh,DM000001
DK000002,KH000081,1386 Nguyen Chi Thanh Xuat Hoa Tay Ninh,1,11/03/2020,Nguyen  Phuong,,Mai,0853722530,phu huynh,DM000002
DK000003,KH000023,3236 Nam Ky Khoi Nghia Tien An Bac Lieu,0,01/27/2021,La Luan,,Hung,0596288372,phu huynh,DM000003
DK000004,KH000033,339 Nam Ky Khoi Nghia Toc Tien Binh Phuoc,0,09/04/2020,Quang Phu Lam,0396443032,,,,DM000004
DK000005,KH000015,4502 Ba Trieu 7 Dong Thap,1,07/31/2020,Quach Quynh,,The,0987432111,phu huynh,DM000005
DK000006,KH000039,2565 Le Lai Hac Dic Dien Bien,0,07/18/2020,Le  Quo Cong,0913560632,,,,DM000006
DK000007,KH000053,2123 Bui Thi Xuan Toc Tien Thanh Hoa,1,12/19/2020,Vo Long,,Dang,0396145464,phu huynh,DM000007
DK000008,KH000065,4916 Nguyen Thien Thuat 2 Quang Ngai,1,03/02/2021,Vu Lieu,,Trong,0823232288,phu huynh,DM000008
DK000009,KH000013,4118 Trung Trac Lang Tron Hai Duong,0,02/15/2021,Lac Huy Yen,0983516242,,,,DM000009
DK000010,KH000055,4657 Le Thanh Ton 7 Ha Nam,0,02/17/2021,Vu Lam,,Ha,0833421528,phu huynh,DM000010
DK000011,KH000069,3206 Phan Chu Trinh Rach Dua Binh Dinh,0,12/19/2020,Do Quynh,,Trong,0922463242,phu huynh,DM000011
DK000012,KH000060,3934 Bai Say Hoa Long Lang Son,1,06/17/2020,Phan Quynh,,Huy,0780112355,phu huynh,DM000012
DK000013,KH000006,99 Bai Say Dai Phuc Soc Trang,0,12/21/2020,Cong Dai Boc,0320871232,,,,DM000013
DK000014,KH000039,2575 Phan Boi Chau 11 Thai Nguyen,1,06/22/2020,Vu Xuan Thu,0991572237,,,,DM000014
DK000015,KH000051,3745 Ho Tung Mau Kim Chan Vinh Long,1,08/07/2020,Dang Hung Au,0320666230,,,,DM000015
DK000016,KH000027,465 Phan Van Truong Tran Nguyen Han Tien Giang,0,07/24/2020,Huynh Trong Luyen,0992058746,,,,DM000016
DK000017,KH000034,2156 Cong Quynh  Tran Phu Binh Duong,1,07/01/2020,Vo Quang Phuong,0783608133,,,,DM000017
DK000018,KH000084,2312 Le Anh Xuan Chau Pha Nghe An,0,04/12/2021,Chung Thanh Niem,0781281825,,,,DM000018
DK000019,KH000100,3005 Nguyen Du Kim Chan Gia Lai,1,01/16/2021,Dang Anh Quang,0773424516,,,,DM000019
DK000020,KH000054,942 Tran Hung Dao Hoang Van Thu Lang Son,0,03/18/2021,Quang Loan,,Phu,0398634614,phu huynh,DM000020
DK000021,KH000075,749 Bai Say Dinh Ke Hai Phong,1,03/22/2021,Bach Hong Canh,0882852744,,,,DM000021
DK000022,KH000062,192 Nguyen Trung Truc Phu My Hoa Binh,1,01/25/2021,Cong Dang Song,0891548078,,,,DM000022
DK000023,KH000096,276 Phan Chu Trinh 3 Binh Phuoc,1,07/28/2020,Cong Tan Ai,0365075646,,,,DM000023
DK000024,KH000093,4222 Ba Trieu Phuoc Hoa Binh Duong,0,05/31/2020,Truon Duc Chau,0820338726,,,,DM000024
